case,N,gamma_s,gamma_t,gap,participation,residue_abs,rigidity,residue_over_participation,asymptotic_participation
esrstm_illustrative,10,0.3,0.0101,0.01350443265797896,0.011743472431800166,0.011861319200064124,0.9900646153875261,1.010035087062055,0.01109917262439803
esrstm_illustrative,11,0.3,0.0101,0.012713063809250413,0.009013673022596572,0.009090413656160586,0.9915580702411704,1.0085138026830607,0.00854918909900103
esrstm_illustrative,12,0.3,0.0101,0.012148712399869803,0.0070669624003794305,0.007118627713601111,0.9927422369450549,1.0073108232780335,0.00672416875879553
esrstm_illustrative,13,0.3,0.0101,0.011735611728634021,0.005641985955965493,0.005677779361107228,0.9936958795216804,1.0063441145407124,0.00538374590491027
esrstm_illustrative,14,0.3,0.0101,0.011426374333667666,0.0045752822824005855,0.0046007031525162724,0.9944745685011682,1.0055561315229602,0.004377184818688528
esrstm_illustrative,15,0.3,0.0101,0.011190344860628865,0.003761106797619393,0.0037795575532453547,0.995118276315142,1.0049056718191678,0.0036066891511410595
esrstm_illustrative,16,0.3,0.0101,0.011007102690460235,0.0031290192840999296,0.0031426701565126667,0.9956562821636095,1.0043626680353501,0.0030069201634589414
esrstm_illustrative,17,0.3,0.0101,0.010862691667360149,0.002630878466229561,0.002641151502948003,0.9961103947626725,1.0039047933419611,0.0025330930663706756
esrstm_illustrative,18,0.3,0.0101,0.010747355465979932,0.0022330302379449133,0.0022408797945643235,0.9964971094663574,1.003515203908136,0.0021538123287758826
esrstm_illustrative,19,0.3,0.0101,0.01065413526869663,0.0019114703990922236,0.0019175508015066708,0.9968290788386573,1.0031810078865646,0.0018466248453842225
esrstm_illustrative,20,0.3,0.0101,0.010577977599285027,0.0016487671586249222,0.0016535357359062405,0.9971161329158061,1.0028922078271472,0.001595183971825265
esrstm_illustrative,21,0.3,0.0101,0.010515152829885688,0.0014320552945377963,0.001435837291660776,0.9973659988182889,1.0026409574667998,0.0013873965780497538
esrstm_illustrative,22,0.3,0.0101,0.010462867849015973,0.0012517000655964511,0.0012547304703319254,0.9975848161759612,1.0024210310590902,0.0012141858110523366
esrstm_illustrative,23,0.3,0.0101,0.010419002941945515,0.0011003895893252646,0.001102840639833301,0.9977775116190792,1.002227438837857,0.0010686486373751288
esrstm_illustrative,24,0.3,0.0101,0.010381929833445436,0.0009725071867732228,0.000974506802125262,0.9979480745053,1.002056144550123,0.0009454719208367219
esrstm_illustrative,25,0.3,0.0101,0.010350383793853446,0.0008636902168123819,0.000865334558037633,0.9980997624445047,1.0019038553328992,0.0008405210948494412
esrstm_illustrative,26,0.3,0.0101,0.010323372396185082,0.0007705153369611889,0.0007718775029546565,0.9982352562573032,1.0017678635688678,0.0007505460937394594
esrstm_illustrative,28,0.3,0.0101,0.010279967035274895,0.0006207900492423133,0.0006217436908274023,0.998466182127526,1.001536174083739,0.0006057238412019262
esrstm_illustrative,29,0.3,0.0101,0.010262438944166119,0.0005603275066094744,0.0005611327177448147,0.998565025510228,1.0014370366006349,0.000547148102336066
esrstm_illustrative,30,0.3,0.0101,0.010247114587435657,0.0005074666693200869,0.0005081503229191224,0.998654623310858,1.0013471891660422,0.0004958879783516424
esrstm_illustrative,32,0.3,0.0101,0.010221794007338803,0.00042012420606882446,0.0004206245869317958,0.9988103860817522,1.001191030785047,0.00041108046757029745
esrstm_illustrative,34,0.3,0.0101,0.010201965201461105,0.000351725427600264,0.0003520984388615888,0.9989406051826563,1.001060518324961,0.00034455973791425724
esrstm_illustrative,35,0.3,0.0101,0.010193651096397102,0.00032304621040948526,0.00032337027758471906,0.9989978448926902,1.001003160429658,0.00031663663329633445
esrstm_illustrative,37,0.3,0.0101,0.010179548734406485,0.00027440060160861,0.0002746479919918586,0.9990992456145249,1.0009015664754317,0.0002692265410969853
esrstm_illustrative,39,0.3,0.0101,0.010168141107190443,0.00023505038699933895,0.0002352418718385913,0.9991860086907327,1.000814654430894,0.00023082810567302782
esrstm_illustrative,41,0.3,0.0101,0.010158814200102784,0.00020287754433485084,0.0002030276182659162,0.9992608201172474,1.0007397266738287,0.00019939799647815813
esrstm_illustrative,43,0.3,0.0101,0.010151114500398973,0.00017631769713544453,0.0001764366547428554,0.999325777245186,1.0006746776378295,0.00017342457225621923
esrstm_illustrative,45,0.3,0.0101,0.010144702112233728,0.00015419838645696913,0.00015429365708455908,0.9993825369792243,1.0006178445169174,0.00015177322638154208
esrstm_illustrative,48,0.3,0.0101,0.010136949332063841,0.00012745544002704164,0.00012752492471785807,0.9994551285486335,1.0005451684981173,0.0001255684176072366
esrstm_illustrative,50,0.3,0.0101,0.010132752070502137,0.00011297713177840835,0.00011303402883492036,0.9994966378081146,1.0005036156929847,0.00011136741346144228
esrstm_illustrative,53,0.3,0.0101,0.010127569736605446,9.510085065699017e-05,9.514361350115098e-05,0.9995505442500324,1.0004496578512747,9.381826171743242e-05
esrstm_illustrative,55,0.3,0.0101,0.010124708451354665,8.523094637916718e-05,8.526660393417859e-05,0.9995818110096311,1.0004183639455648,8.412102976422296e-05
esrstm_illustrative,58,0.3,0.0101,0.010121114086843137,7.283231060110907e-05,7.285978369194761e-05,0.9996229320285287,1.000377210205358,7.193042503407739e-05
esrstm_illustrative,61,0.3,0.0101,0.010118184377030878,6.272637816765821e-05,6.274782071004805e-05,0.9996582743090164,1.0003418425073503,6.19859972939553e-05
esrstm_illustrative,64,0.3,0.0101,0.010115772533567213,5.440680774945202e-05,5.44237405097828e-05,0.9996888718016774,1.0003112250292052,5.379335007036424e-05
esrstm_illustrative,67,0.3,0.0101,0.010113769011455442,4.74957276833423e-05,4.750924229602039e-05,0.999715537187609,1.0002845437545076,4.698312755404596e-05
esrstm_illustrative,71,0.3,0.0101,0.010111592473674769,3.998783606622364e-05,3.999799268349463e-05,0.9997460718253698,1.0002539926705254,3.9579579162041806e-05
esrstm_illustrative,74,0.3,0.0101,0.010110252160489663,3.536447219814096e-05,3.537275443533178e-05,0.9997658582905679,1.0002341965446115,3.501747854950822e-05
esrstm_illustrative,78,0.3,0.0101,0.010108768100279275,3.0245257950124022e-05,3.0251646014866176e-05,0.9997888357962733,1.0002112088034656,2.9963144422801806e-05
esrstm_illustrative,82,0.3,0.0101,0.010107557186704237,2.60682535518672e-05,2.6073244229207763e-05,0.9998085900896455,1.0001914465551225,2.583654186449461e-05
esrstm_illustrative,86,0.3,0.0101,0.010106559362929701,2.2626295033451005e-05,2.263023955340232e-05,0.9998256969422701,1.0001743334445823,2.2434216340812085e-05
esrstm_illustrative,91,0.3,0.0101,0.010105544446329003,1.912537540459141e-05,1.9128358700124044e-05,0.9998440380808721,1.0001559862470422,1.897165329769276e-05
esrstm_illustrative,95,0.3,0.0101,0.010104878253195726,1.682736528636935e-05,1.6829776920667934e-05,0.9998567043217532,1.0001433162148408,1.6697634958986387e-05
esrstm_illustrative,100,0.3,0.0101,0.010104187454631975,1.444447958927847e-05,1.4446350689247842e-05,0.9998704794027488,1.0001295373750094,1.4338527054786688e-05
