N,gamma_b_over_J,slow_rigidity,min_rigidity,slow_residue_over_participation,max_residue_over_participation
10,0.22658939446607085,0.9930108063904366,0.8992789212551463,1.0070383862537904,1.1120020455992394
10,0.25671376842250326,0.9915830182106274,0.8704182829907274,1.0084884287394933,1.1488729264326043
10,0.29084308668979075,0.9900228180512206,0.833219168226181,1.0100777292875114,1.2001644202795698
10,0.32950979448841317,0.9883961913479915,0.7852697983700605,1.0117400378042565,1.2734476762962774
10,0.3733171240188449,0.9868035157776057,0.7235113572844264,1.0133729602817594,1.3821483103642291
10,0.4229485053762257,0.9853748843309796,0.644120780075553,1.0148421843316522,1.5525038640776403
10,0.4791782286176434,0.9842542313833622,0.5420632950839179,1.0159976641345063,1.844803012986127
10,0.5428835233189814,0.9835727614314473,0.4065229238798582,1.016701599731824,2.45988587914303
10,0.6150582440722752,0.9834182160634221,0.15775702024063185,1.0168613756240494,6.338862121474327
10,0.6968283754285082,0.9838113379854978,0.30476045016761455,1.0164550472122542,3.2812656611119064
10,0.7894695981756077,0.9846999837599439,0.42597821144901127,1.015537743975211,2.347537909505726
10,0.8944271909999161,0.9859736900691329,0.5236760019851001,1.014225846056687,1.909577670562136
10,1.0133385780132982,0.9874918875110809,0.6084010202125985,1.0126665470847007,1.6436527336041644
10,1.1480588739057127,0.98911400578864,0.6811293854225804,1.0110058033226212,1.4681498426023545
10,1.300689825248473,0.9907217669052228,0.7425060712555734,1.0093651249066227,1.3467903343995637
10,1.473612599456155,0.9922299036950526,0.793519315087699,1.0078309434900234,1.2602087699522235
10,1.6695249329417137,0.9935868358490886,0.8353808384843959,1.0064545582927649,1.1970588190821652
10,1.891483218006352,0.9947692404336189,0.8693735519002138,1.00525826428258,1.1502535334946322
10,2.1429501850539716,0.9957743329050507,0.8967419076430198,1.004243599132166,1.115148061529077
10,2.4278489240116694,0.9966124011784919,0.918625756962858,1.0033991136549196,1.0885825837348388
10,2.750624087734529,0.9973008010986932,0.9360281097359698,1.0027065042947254,1.0683439841161126
10,3.116311232217777,0.9978596953318456,0.9498062304463565,1.0021448953977867,1.0528463258553855
10,3.5306153753802056,0.9983093361220862,0.9606771239722871,1.0016935270629457,1.040932457999122
10,4.0,0.9986685236763518,0.9692307692307692,1.0013332515164761,1.0317460317460319
20,0.01,0.9999944558553318,0.9997714885212872,1.0000055441754063,1.000228563708144
20,0.011329469723303542,0.999992885001461,0.9997066856449317,1.0000071150491623,1.0002934004136212
20,0.012835688421125162,0.9999908695388928,0.9996235040101654,1.0000091305444727,1.000376637792453
