J_over_gamma_t,xi_read,N_floor,N_res
1029.3868508027717,514.6935063557045,14.958036387747478,122.44821379695952
1090.7766915109553,545.3884221536205,15.269162434492205,126.07596803767942
1155.8276558669077,577.9139000318461,15.586354353917695,129.81033055102048
1224.7580833582317,612.3791097197507,15.909730409383002,133.65443421838455
1297.7993346475664,648.8997315350346,16.23941116997018,137.61150398669184
1375.1965681201607,687.5983446574689,16.575519555437822,141.68485957389655
1457.209562742639,728.6048385582365,16.91818088205107,145.87791825400907
1544.1135899948315,772.0568489658051,17.267522909305118,150.19419772396134
1636.200337801256,818.1002198316311,17.623675887559674,154.63731905472014
1733.7788895633676,866.8894928462472,17.98677260660215,159.21100972912456
1837.1767615786373,918.588426148768,18.356948445157627,163.91910676899573
1946.7410023284917,973.3705439708272,18.73434142136411,168.7655599541426
2062.839357324804,1031.419719059793,19.11909224423189,173.754435135964
2185.861503424672,1092.9307898361276,19.511344366106133,178.8899176484272
2316.220356756384,1158.1102143563444,19.91124403615239,184.17631581928438
2454.3534586465407,1227.1767632765418,20.31894035488479,189.61806458447265
2600.7244442001165,1300.3622541424108,20.734585329757437,195.2197292087297
2755.8245984626415,1377.9123294703027,21.158333931839547,200.98600911554692
2920.174505387701,1460.0872812309572,21.59034415359565,206.92174182967275
3094.3257951443616,1547.1629245031945,22.030777067792258,213.03190703547372
3278.862995629286,1639.4315232299566,22.479796887552975,219.32163075455793
3474.4054943980086,1737.202771183922,22.937571027584543,225.79618964616546
3681.6096176004703,1840.8048314352618,23.40427016659652,232.46101543393445
3901.170832898638,1950.5854378104268,23.880068310937958,239.32169946275502
4133.826083760148,2066.913062038961,24.36514285947479,246.38399738953555
4380.356262962907,2190.1781505057806,24.85967466973203,253.65383401181504
4641.588833612782,2320.7944347600132,25.363848125325596,261.13730823827404
4918.400606471699,2459.2003201790267,25.877851204708772,268.8406982053124
5211.720682918044,2605.860357448623,26.401875551258993,276.77046654398765
5522.53357341725,2761.266801798318,26.936116544731103,284.93326580173203
5851.882501969514,2925.9412652251885,27.48077337410364,293.3359440233968
